event_type,current_char,timestamp,current_word,current_word_time,current_sentence,current_sentence_time,complete_text,current_complete_time,sentence_num,technique_used,autocompletion,participant_id
key pressed,S,1559749664.3944929,S,0.0,S,0.0,S,0.0,1,none,True,2
key pressed,SPACE,1559749666.069196,Stanleys,1.6747031211853027,Stanleys ,1.6747031211853027,Stanleys ,1.6747031211853027,1,none,True,2
word typed,SPACE,1559749666.069196,Stanleys,1.6747031211853027,Stanleys ,1.6747031211853027,Stanleys ,1.6747031211853027,1,True,True,2
key pressed,E,1559749666.736762,E,0.0,Stanleys E,2.3422691822052,Stanleys E,2.3422691822052,1,none,True,2
key pressed,SPACE,1559749667.764135,Expeditionszug,1.0273728370666504,Stanleys Expeditionszug ,3.3696420192718506,Stanleys Expeditionszug ,3.3696420192718506,1,none,True,2
word typed,SPACE,1559749667.764135,Expeditionszug,1.0273728370666504,Stanleys Expeditionszug ,3.3696420192718506,Stanleys Expeditionszug ,3.3696420192718506,1,True,True,2
key pressed,q,1559749668.705502,q,0.0,Stanleys Expeditionszug q,4.311009168624878,Stanleys Expeditionszug q,4.311009168624878,1,none,True,2
key pressed,SPACE,1559749670.460201,quer,1.7546989917755127,Stanleys Expeditionszug quer ,6.065708160400391,Stanleys Expeditionszug quer ,6.065708160400391,1,none,True,2
word typed,SPACE,1559749670.460201,quer,1.7546989917755127,Stanleys Expeditionszug quer ,6.065708160400391,Stanleys Expeditionszug quer ,6.065708160400391,1,True,True,2
key pressed,d,1559749671.0703528,d,0.0,Stanleys Expeditionszug quer d,6.6758599281311035,Stanleys Expeditionszug quer d,6.6758599281311035,1,none,True,2
key pressed,u,1559749671.184355,du,0.11400222778320312,Stanleys Expeditionszug quer du,6.789862155914307,Stanleys Expeditionszug quer du,6.789862155914307,1,none,True,2
key pressed,r,1559749671.4152992,dur,0.34494638442993164,Stanleys Expeditionszug quer dur,7.020806312561035,Stanleys Expeditionszug quer dur,7.020806312561035,1,none,True,2
key pressed,SPACE,1559749672.4391649,durch,1.368812084197998,Stanleys Expeditionszug quer durch ,8.044672012329102,Stanleys Expeditionszug quer durch ,8.044672012329102,1,none,True,2
word typed,SPACE,1559749672.4391649,durch,1.368812084197998,Stanleys Expeditionszug quer durch ,8.044672012329102,Stanleys Expeditionszug quer durch ,8.044672012329102,1,True,True,2
key pressed,A,1559749672.902406,A,0.0,Stanleys Expeditionszug quer durch A,8.50791311264038,Stanleys Expeditionszug quer durch A,8.50791311264038,1,none,True,2
key pressed,SPACE,1559749673.934238,Afrika,1.031831979751587,Stanleys Expeditionszug quer durch Afrika ,9.539745092391968,Stanleys Expeditionszug quer durch Afrika ,9.539745092391968,1,none,True,2
word typed,SPACE,1559749673.934238,Afrika,1.031831979751587,Stanleys Expeditionszug quer durch Afrika ,9.539745092391968,Stanleys Expeditionszug quer durch Afrika ,9.539745092391968,1,True,True,2
key pressed,w,1559749674.4604092,w,0.0,Stanleys Expeditionszug quer durch Afrika w,10.065916299819946,Stanleys Expeditionszug quer durch Afrika w,10.065916299819946,1,none,True,2
key pressed,u,1559749674.6223528,wu,0.16194367408752441,Stanleys Expeditionszug quer durch Afrika wu,10.22785997390747,Stanleys Expeditionszug quer durch Afrika wu,10.22785997390747,1,none,True,2
