event_type,current_char,timestamp,current_word,current_word_time,current_sentence,current_sentence_time,complete_text,current_complete_time,sentence_num,technique_used,participant_id
key pressed,"S",1559750667.264147,"S",0.0,"S",0.0,"S",0.0,1,none,4
key pressed,"SPACE",1559750668.600607,"Stanleys",1.3364598751068115,"Stanleys ",1.3364598751068115,"Stanleys ",1.3364598751068115,1,none,4
word typed,"SPACE",1559750668.600607,"Stanleys",1.3364598751068115,"Stanleys ",1.3364598751068115,"Stanleys ",1.3364598751068115,1,True,4
key pressed,"E",1559750668.864419,"E",0.0,"Stanleys E",1.6002719402313232,"Stanleys E",1.6002719402313232,1,none,4
key pressed,"SPACE",1559750669.752629,"Expeditionszug",0.8882100582122803,"Stanleys Expeditionszug ",2.4884819984436035,"Stanleys Expeditionszug ",2.4884819984436035,1,none,4
word typed,"SPACE",1559750669.752629,"Expeditionszug",0.8882100582122803,"Stanleys Expeditionszug ",2.4884819984436035,"Stanleys Expeditionszug ",2.4884819984436035,1,True,4
key pressed,"q",1559750670.048352,"q",0.0,"Stanleys Expeditionszug q",2.7842049598693848,"Stanleys Expeditionszug q",2.7842049598693848,1,none,4
key pressed,"u",1559750670.296513,"qu",0.24816107749938965,"Stanleys Expeditionszug qu",3.0323660373687744,"Stanleys Expeditionszug qu",3.0323660373687744,1,none,4
key pressed,"e",1559750670.424302,"que",0.3759500980377197,"Stanleys Expeditionszug que",3.1601550579071045,"Stanleys Expeditionszug que",3.1601550579071045,1,none,4
key pressed,"r",1559750670.543433,"quer",0.49508094787597656,"Stanleys Expeditionszug quer",3.2792859077453613,"Stanleys Expeditionszug quer",3.2792859077453613,1,none,4
key pressed,"SPACE",1559750670.608415,"quer",0.5600628852844238,"Stanleys Expeditionszug quer ",3.3442678451538086,"Stanleys Expeditionszug quer ",3.3442678451538086,1,none,4
word typed,"SPACE",1559750670.608415,"quer",0.5600628852844238,"Stanleys Expeditionszug quer ",3.3442678451538086,"Stanleys Expeditionszug quer ",3.3442678451538086,1,False,4
key pressed,"d",1559750670.767848,"d",0.0,"Stanleys Expeditionszug quer d",3.5037009716033936,"Stanleys Expeditionszug quer d",3.5037009716033936,1,none,4
key pressed,"u",1559750670.8644512,"du",0.0966031551361084,"Stanleys Expeditionszug quer du",3.600304126739502,"Stanleys Expeditionszug quer du",3.600304126739502,1,none,4
key pressed,"r",1559750670.9843981,"dur",0.21655011177062988,"Stanleys Expeditionszug quer dur",3.7202510833740234,"Stanleys Expeditionszug quer dur",3.7202510833740234,1,none,4
key pressed,"c",1559750671.1764119,"durc",0.40856385231018066,"Stanleys Expeditionszug quer durc",3.912264823913574,"Stanleys Expeditionszug quer durc",3.912264823913574,1,none,4
key pressed,"h",1559750671.256384,"durch",0.48853588104248047,"Stanleys Expeditionszug quer durch",3.992236852645874,"Stanleys Expeditionszug quer durch",3.992236852645874,1,none,4
